sampleID,HGNC_symbol,Control,Mutant,Log2FC,pvalue,"","",""
sample2,PNRC2,,,-0.536499982712179,9.05054480587575e-06,"","",""
sample2,ZBTB43,,,-0.840383051136808,9.34391836269704e-06,"","",""
sample2,SLC40A1,,,-1.21105133050989,9.61881025073053e-06,"","",""
sample2,PPCS,,,0.877135803066009,1.16377456178586e-05,"","",""
sample2,HRC,,,-0.70175206264982,1.02490360900724e-05,"","",""
sample2,INKA2,,,0.946617232564493,1.18257793182125e-05,"","",""
sample2,IGSF1,,,-1.21897254570983,1.19478738880481e-05,"","",""
sample2,ITGB6,,,-0.750666724080149,1.06497200008088e-05,"","",""
sample2,GCH1,,,-1.30171672930118,1.26533679740577e-05,"","",""
sample2,PPP1R26,,,0.991661424673226,1.25894914115255e-05,"","",""
sample2,PPP1R3D,,,0.819727189122253,1.27183880574039e-05,"","",""
sample2,ORMDL3,,,0.830792088321734,1.15083172823104e-05,"","",""
sample2,SAT1,,,-1.41183299475865,1.21349406823741e-05,"","",""
sample2,PIM1,,,-1.40623128732504,1.426045529774e-05,"","",""
sample2,MYH14,,,-0.520699515862842,1.26242002119459e-05,"","",""
sample2,ZBTB7B,,,0.570546228595872,1.33242874216663e-05,"","",""
sample2,CBX8,,,0.862580860335465,1.57244145766656e-05,"","",""
sample2,MAST4,,,-1.00535796065118,1.39438966267303e-05,"","",""
sample2,ATOH8,,,1.1451156970949,1.73858519460636e-05,"","",""
sample2,EPHB3,,,1.38482836797553,1.8521435375238e-05,"","",""
sample2,PIK3IP1,,,1.12296864526749,1.68381265423951e-05,"","",""
sample2,TBX3,,,-1.57351913496539,1.88938159622038e-05,"","",""
sample2,ALG2,,,0.722899418851954,1.87250313638428e-05,"","",""
sample2,TMEM176B,,,1.67229120779398,1.75456963463759e-05,"","",""
sample2,PDK4,,,-2.61726655188017,1.81981588169193e-05,"","",""
sample2,LPAR5,,,1.54713184733486,1.66196487085065e-05,"","",""
sample2,TNNC1,,,0.533241048463601,1.98024545881325e-05,"","",""
sample2,FBXL8,,,1.34284030514758,1.32059809380322e-05,"","",""
sample2,ZNF174,,,0.733453160207746,2.51279765947277e-05,"","",""
sample2,SAMD4B,,,-0.441310804399607,2.16823620985652e-05,"","",""
sample2,NUDT18,,,0.451787129807331,2.32715474593011e-05,"","",""
sample2,MXRA8,,,0.973899698089472,2.46023568558435e-05,"","",""
sample2,KLRG2,,,1.25833427119229,2.73735449425368e-05,"","",""
sample2,CD151,,,0.496860936832544,2.38882770642519e-05,"","",""
sample2,EEF1A1,,,0.671131131752357,2.43291274835264e-05,"","",""
sample2,BCAS4,,,1.57438574693463,2.618824263081e-05,"","",""
sample2,CCN2,,,-1.2250156422952,2.77896821865071e-05,"","",""
sample2,DHCR24,,,-1.62006712366776,3.19009655710313e-05,"","",""
sample2,RAD52,,,-0.819875717423916,2.86617949437346e-05,"","",""
sample2,NUDT22,,,0.551884954505939,3.07571752264754e-05,"","",""
sample2,TENM2,,,-1.75600622396678,3.18007801100261e-05,"","",""
sample2,SLC38A2,,,-0.63588796722749,2.85606965416333e-05,"","",""
sample2,CSRNP1,,,-2.23152611183494,3.32238062768603e-05,"","",""
sample2,TMCC1,,,-0.59877010824806,3.02633883593756e-05,"","",""
sample2,TMEM199,,,0.617451307452174,3.36805539369835e-05,"","",""
sample2,GPAM,,,0.808658276535514,3.20526314906563e-05,"","",""
sample2,LSS,,,-0.866919313499127,3.35230625461445e-05,"","",""
sample2,VOPP1,,,1.08696907566222,3.34183853236168e-05,"","",""
sample2,ZNF514,,,1.11820949012073,3.88007782619218e-05,"","",""
sample2,NR4A1,,,-2.36393187033421,3.29006740917249e-05,"","",""
sample2,SRSF5,,,-1.00756046045405,3.24075544790555e-05,"","",""
sample2,PAQR4,,,0.794771560435333,3.46841997227301e-05,"","",""
sample2,CA13,,,0.771573415291813,3.99004118005538e-05,"","",""
sample2,PDXP,,,1.02237360341889,4.09254199700701e-05,"","",""
sample2,UGP2,,,-0.668235635546694,3.42547456602198e-05,"","",""
sample2,RASSF10,,,1.8630946501289,1.97857588650557e-05,"","",""
sample2,CTH,,,-1.30102579149049,4.31765377212884e-05,"","",""
sample2,RAB15,,,0.501044085025216,3.63995488787799e-05,"","",""
sample2,ADCY4,,,-1.07410366525011,3.79099177951307e-05,"","",""
sample2,COL8A1,,,1.49101824681806,4.14542567064806e-05,"","",""
sample2,LOXL1,,,1.23729385683644,4.60152119596938e-05,"","",""
sample2,LONRF3,,,-1.12661010492961,4.30256159509158e-05,"","",""
sample2,FBXL22,,,1.13183779264842,4.05354868532091e-05,"","",""
sample2,ELOVL3,,,1.24188312622224,4.73110184677058e-05,"","",""
sample2,R3HCC1L,,,0.619160988268332,4.80944385471957e-05,"","",""
sample2,PPIB,,,0.587513883212971,4.24924305488698e-05,"","",""
sample2,ZNF608,,,1.25185111565426,4.81588930819062e-05,"","",""
sample2,ZNHIT6,,,0.438275245952254,4.54162824666335e-05,"","",""
sample2,BLOC1S3,,,0.663882014534686,5.0479438558438e-05,"","",""
sample2,MTERF3,,,-0.729632144531353,5.35801239848739e-05,"","",""
sample2,TRIM63,,,-1.34171149532327,4.4043189393276e-05,"","",""
sample2,PDF,,,0.817184467808288,5.75875377041803e-05,"","",""
sample2,GSR,,,0.662973225773408,5.55572352085847e-05,"","",""
sample2,MED7,,,0.488873661976718,5.24874487392057e-05,"","",""
sample2,SFRP1,,,1.29359509651013,6.07310423480697e-05,"","",""
sample2,ERRFI1,,,-1.08034264403477,5.95152267537092e-05,"","",""
sample2,WDR81,,,0.7224856188137,5.75106987008523e-05,"","",""
sample2,SRRT,,,-0.416015231398292,5.1204063621986e-05,"","",""
sample2,MEGF6,,,1.68216628807001,5.88754923930774e-05,"","",""
sample2,HINFP,,,0.699435581175617,6.44394458831741e-05,"","",""
sample2,TENT5C,,,-1.28817296182795,5.72794391019837e-05,"","",""
sample2,TOR3A,,,0.886977597983239,6.66593421619574e-05,"","",""
sample2,TXLNG,,,-0.815364032075776,6.3406092476203e-05,"","",""
sample2,SERTAD4,,,2.4191741558289,4.8316197507385e-05,"","",""
sample2,DBP,,,2.02370555990189,6.90946483573227e-05,"","",""
sample2,FAM221B,,,1.1289298673452,6.81879335130303e-05,"","",""
sample2,PITPNM3,,,-2.91053688952485,3.47448263152036e-05,"","",""
sample2,ZNF189,,,-0.758318458381507,5.65963487890468e-05,"","",""
sample2,TIPARP,,,-0.967140776273928,6.01673391796961e-05,"","",""
sample2,MKKS,,,0.511434464195004,5.9138168694723e-05,"","",""
sample2,UBAP2,,,-0.445747041216502,5.80510161432195e-05,"","",""
sample2,EDN1,,,1.83267939696185,5.20594385638476e-05,"","",""
sample2,SPATA6,,,1.03743863684125,7.24725560370343e-05,"","",""
sample2,POPDC3,,,0.661199606395831,6.1572161191497e-05,"","",""
sample2,ZFP64,,,0.617639965382292,7.25315789591869e-05,"","",""
sample2,TRIB1,,,-1.65514690529826,6.26019798428412e-05,"","",""
sample2,ANXA4,,,0.655610741287525,6.71126034047286e-05,"","",""
sample2,FBXL4,,,0.536717360559684,6.88043285843236e-05,"","",""
sample2,SBSPON,,,2.03342335637209,8.2363597083257e-05,"","",""
sample2,ETAA1,,,1.06831655093988,8.69934760077542e-05,"","",""
sample2,ADCY7,,,1.2449601840699,8.90063566029333e-05,"","",""
sample2,DHX15,,,-0.752999888578505,7.40666927210718e-05,"","",""
sample2,GPN2,,,0.623442135268442,8.03992853338966e-05,"","",""
sample2,FGFR4,,,1.65984352163213,9.77660371787909e-05,"","",""
sample2,LVRN,,,-1.5353682985758,9.84330103497663e-05,"","",""
sample2,FRMD5,,,0.839325498718249,7.64272262291253e-05,"","",""
sample2,PARD6B,,,1.46996342288477,7.97882730855175e-05,"","",""
sample2,HCFC1R1,,,0.84975527133159,8.37513954207825e-05,"","",""
sample2,NAP1L3,,,0.652775623088505,0.000100024824816999,"","",""
sample2,SOBP,,,-1.55282997937805,0.000104275296579368,"","",""
sample2,TAF10,,,0.465528030561921,8.57345873590618e-05,"","",""
sample2,MOCS3,,,0.599478288780843,9.86073932787857e-05,"","",""
sample2,PCID2,,,-0.69883171832213,9.89885693636528e-05,"","",""
sample2,CBX2,,,1.11125476006933,0.000105234606294937,"","",""
sample2,RASGEF1B,,,-1.55252718551546,0.000108156655976156,"","",""
sample2,PPP1R15A,,,-0.851485772288116,8.81183758764042e-05,"","",""
sample2,TNFSF4,,,-1.67344609181633,0.000112542234729958,"","",""
sample2,BBLN,,,0.869039253368948,0.000120089249491806,"","",""
sample2,FICD,,,0.852552507685947,0.000120699950775004,"","",""
sample2,IRGC,,,2.13148039348102,0.000124023344737206,"","",""
sample2,NT5C1A,,,-0.99994237266595,9.60411843655928e-05,"","",""
sample2,UNG,,,0.706001735855739,0.000117069603825869,"","",""
sample2,EOGT,,,0.589116006289631,0.000120060717977209,"","",""
sample2,ARHGEF25,,,0.764628424589529,0.00011319898421691,"","",""
sample2,FBN2,,,2.15193090768064,0.000136897480246135,"","",""
sample2,ADCY5,,,-0.548572799874522,0.000106197298537861,"","",""
sample2,ACKR4,,,2.02370323994539,0.00014224004147565,"","",""
sample2,MRPL37,,,0.498722849184791,0.000114916882401596,"","",""
sample2,SREBF2,,,-0.775588170462149,0.000120073499558875,"","",""
sample2,PWWP2B,,,0.660111766545317,0.000140887663259507,"","",""
