Gene	Condition	Region	Group	mean_logCPM
TRPV1	RA_Control	RA	Control	-1.20367390481505
TRPV1	RV_AF	RV	AF	-0.808218713562622
TRPV1	RV_Control	RV	Control	-0.557907616801246
TRPV2	LA_AF	LA	AF	2.5879887372885
TRPV2	LA_Control	LA	Control	3.1183302568542
TRPV2	LV_AF	LV	AF	3.52509462965717
TRPV2	LV_Control	LV	Control	3.34251794176657
TRPV2	RA_AF	RA	AF	2.85992993695861
TRPV2	RA_Control	RA	Control	3.16814927672406
TRPV2	RV_AF	RV	AF	3.34096066661736
TRPV2	RV_Control	RV	Control	3.11670100129026
