sampleID,HGNC_symbol,Control,Mutant,Log2FC,pvalue,"","",""
sample1,OTUD1,,,-3.62750954505547,1.21765899115716e-08,"","",""
sample1,ATF3,,,-3.46933846682475,7.95138554480705e-08,"","",""
sample1,VSNL1,,,2.45831853441104,1.12627659424078e-07,"","",""
sample1,LSS,,,-1.18257396330172,2.64257872087404e-07,"","",""
sample1,LCLAT1,,,1.23331577271952,4.03914664792098e-07,"","",""
sample1,WFS1,,,0.859215100542436,4.2589770637004e-07,"","",""
sample1,NEDD9,,,-1.70427101095519,5.1172974164884e-07,"","",""
sample1,UBE2G1,,,0.483186206627112,6.82073003434941e-07,"","",""
sample1,PYGB,,,0.730719806481117,8.78817327236959e-07,"","",""
sample1,ZNF174,,,0.902202301515044,8.95850237643099e-07,"","",""
sample1,TPPP3,,,1.27988797967561,1.05150619729205e-06,"","",""
sample1,PROB1,,,0.779545798802495,1.04520262214005e-06,"","",""
sample1,E2F6,,,-0.637739899626792,1.11388004275393e-06,"","",""
sample1,IQCN,,,-1.28140731845019,1.21472561094771e-06,"","",""
sample1,KBTBD7,,,0.933978028895536,1.1770901047775e-06,"","",""
sample1,RHPN1,,,0.816026217334302,1.10166309771747e-06,"","",""
sample1,CIMAP1B,,,1.58734352950115,1.56221999707641e-06,"","",""
sample1,CBX2,,,1.60249283221639,6.29331275019112e-07,"","",""
sample1,ST6GAL1,,,1.08638147552339,1.87437824798434e-06,"","",""
sample1,RRAGA,,,0.489112466996029,2.50430040205366e-06,"","",""
sample1,AAK1,,,1.03255898672486,2.60800125874093e-06,"","",""
sample1,ZBTB21,,,-1.21806708543853,2.82507232195007e-06,"","",""
sample1,PIM1,,,-1.41035128370755,2.84566789327974e-06,"","",""
sample1,SEMA6C,,,0.93972861252929,2.94845799762873e-06,"","",""
sample1,ARID5B,,,-1.40742612044875,3.20391922183308e-06,"","",""
sample1,GCH1,,,-1.3904949624281,3.51142693538043e-06,"","",""
sample1,CAPZB,,,0.456808351753218,3.91238003850297e-06,"","",""
sample1,FHL2,,,0.994280024026979,4.15720391567942e-06,"","",""
sample1,TPPP,,,1.29067715415047,4.55714911531501e-06,"","",""
sample1,RNF43,,,0.966758929040042,5.07338130964386e-06,"","",""
sample1,DYRK1B,,,0.725955453803194,5.15751792558403e-06,"","",""
sample1,IFRD1,,,-1.3492843707321,6.34389881683816e-06,"","",""
sample1,LZTFL1,,,0.695628468403941,6.540301483593e-06,"","",""
sample1,COL8A1,,,1.74814398017664,6.65455879966877e-06,"","",""
sample1,CYB561,,,1.53372307720717,6.13867683200725e-06,"","",""
sample1,SPATA6,,,1.30563355371386,4.24643755787727e-06,"","",""
sample1,DDIT3,,,-1.06026659021721,7.18270171080683e-06,"","",""
sample1,LRRC14B,,,1.35027471846639,7.73901086508869e-06,"","",""
sample1,RAB15,,,0.554451828267911,8.01633670696893e-06,"","",""
sample1,KCNJ4,,,-0.883803983123732,8.04499809049583e-06,"","",""
sample1,PHOSPHO1,,,-1.05165097649705,8.37243706572215e-06,"","",""
sample1,LDAF1,,,0.74041439293314,9.75153645372781e-06,"","",""
sample1,ZMYM3,,,0.794241142554442,9.85321266794467e-06,"","",""
sample1,NR4A3,,,-5.07455911096834,8.40052100046536e-06,"","",""
sample1,GPR75,,,1.65537771003869,9.43887258928085e-06,"","",""
sample1,ZNF391,,,1.13925682903168,1.17649132352269e-05,"","",""
sample1,FRS3,,,0.992145561467028,1.00112809982852e-05,"","",""
sample1,ERF,,,-0.806834462025893,1.36634406700922e-05,"","",""
sample1,ATF4,,,-0.760797577897085,1.37147975631327e-05,"","",""
sample1,SERTAD1,,,-0.946918292015465,1.72638946510948e-05,"","",""
sample1,THBS1,,,-2.0453092561134,1.69837215383623e-05,"","",""
sample1,DENND4B,,,0.47878693849534,1.82089467148644e-05,"","",""
sample1,SSC5D,,,1.29617621619777,1.89168610375898e-05,"","",""
sample1,PLK2,,,-0.981872511122831,2.11880146553428e-05,"","",""
