Gene	Condition	Region	Group	mean_logCPM
CACNB3	RV_AF	RV	AF	1.71966650099056
CACNB3	RV_Control	RV	Control	1.51252190156616
CASQ1	LA_AF	LA	AF	3.79145415811392
CASQ1	LA_Control	LA	Control	4.25912973137923
CASQ1	LV_AF	LV	AF	3.00785940279535
CASQ1	LV_Control	LV	Control	2.74881804754114
CASQ1	RA_AF	RA	AF	4.2755938562974
CASQ1	RA_Control	RA	Control	3.99231658795653
CASQ1	RV_AF	RV	AF	2.92547786923946
CASQ1	RV_Control	RV	Control	2.30388116868128
CASQ2	LA_AF	LA	AF	10.1003107487298
CASQ2	LA_Control	LA	Control	10.0724523567957
CASQ2	LV_AF	LV	AF	9.99684785791386
CASQ2	LV_Control	LV	Control	10.0292134721883
CASQ2	RA_AF	RA	AF	10.1708170647189
CASQ2	RA_Control	RA	Control	10.1265246565594
CASQ2	RV_AF	RV	AF	9.984919032151
CASQ2	RV_Control	RV	Control	10.0319278418133
GJA1	LA_AF	LA	AF	8.33825986300989
GJA1	LA_Control	LA	Control	8.50762330205881
GJA1	LV_AF	LV	AF	7.86738515346667
GJA1	LV_Control	LV	Control	7.60185594068511
GJA1	RA_AF	RA	AF	8.40644543073234
GJA1	RA_Control	RA	Control	8.58077733150784
GJA1	RV_AF	RV	AF	7.8358876598806
GJA1	RV_Control	RV	Control	7.55495564702432
GJA3	LA_AF	LA	AF	4.59236368855693
GJA3	LA_Control	LA	Control	4.04573211707971
GJA3	LV_AF	LV	AF	5.11116754042084
GJA3	LV_Control	LV	Control	4.93207741867469
GJA3	RA_AF	RA	AF	4.57589237026022
GJA3	RA_Control	RA	Control	3.88292399622135
GJA3	RV_AF	RV	AF	5.31538387271584
GJA3	RV_Control	RV	Control	5.00703222245271
GJA4	LA_AF	LA	AF	3.58038019265346
GJA4	LA_Control	LA	Control	3.67438694184222
GJA4	LV_AF	LV	AF	3.9589234373276
GJA4	LV_Control	LV	Control	4.12265417246889
GJA4	RA_AF	RA	AF	3.62004699960731
GJA4	RA_Control	RA	Control	3.27597801006416
GJA4	RV_AF	RV	AF	4.02208497513235
GJA4	RV_Control	RV	Control	3.82789067156496
GJA5	LA_AF	LA	AF	6.28445016117318
GJA5	LA_Control	LA	Control	5.84226285600713
GJA5	LV_AF	LV	AF	4.68153295155497
GJA5	LV_Control	LV	Control	5.02809611200047
GJA5	RA_AF	RA	AF	6.72703155765201
GJA5	RA_Control	RA	Control	5.92020200316542
GJA5	RV_AF	RV	AF	4.75825426430784
GJA5	RV_Control	RV	Control	4.59518254218574
HCN2	LA_AF	LA	AF	3.57459063483953
HCN2	LA_Control	LA	Control	1.99277400585942
HCN2	LV_AF	LV	AF	2.7811074167903
HCN2	LV_Control	LV	Control	4.14825036316843
HCN2	RA_AF	RA	AF	3.81195620788409
HCN2	RA_Control	RA	Control	3.17571515962374
HCN2	RV_AF	RV	AF	2.51506390920776
HCN2	RV_Control	RV	Control	3.80647747398912
HCN4	LA_AF	LA	AF	5.02703699307371
HCN4	LA_Control	LA	Control	4.12507773990983
HCN4	LV_AF	LV	AF	1.68627136780288
HCN4	LV_Control	LV	Control	1.58505718512618
HCN4	RA_AF	RA	AF	6.6185155336158
HCN4	RA_Control	RA	Control	6.02483186777228
HCN4	RV_AF	RV	AF	3.02518977492653
HCN4	RV_Control	RV	Control	0.227951857750207
KCNA5	LA_AF	LA	AF	6.70103103472417
KCNA5	LA_Control	LA	Control	6.36847855809566
KCNA5	LV_AF	LV	AF	4.05849953091709
KCNA5	LV_Control	LV	Control	3.74815406060435
KCNA5	RA_AF	RA	AF	6.68918968249472
KCNA5	RA_Control	RA	Control	6.3521519508249
KCNA5	RV_AF	RV	AF	4.04718721659595
KCNA5	RV_Control	RV	Control	3.92993979375346
KCNA7	LA_AF	LA	AF	3.89218752432568
KCNA7	LA_Control	LA	Control	3.70766000591824
KCNA7	LV_AF	LV	AF	3.96678608829551
KCNA7	LV_Control	LV	Control	3.94076506770594
KCNA7	RA_AF	RA	AF	3.87646827976303
KCNA7	RA_Control	RA	Control	3.71926142981269
KCNA7	RV_AF	RV	AF	3.96090932452913
KCNA7	RV_Control	RV	Control	4.13247975401949
KCNC4	LA_AF	LA	AF	2.4837681012411
KCNC4	LA_Control	LA	Control	3.2204655849105
KCNC4	LV_AF	LV	AF	-0.2354680613186
KCNC4	LV_Control	LV	Control	0.185529738339959
KCNC4	RA_AF	RA	AF	1.74036496088983
KCNC4	RA_Control	RA	Control	2.00770581805581
KCNC4	RV_AF	RV	AF	-0.0344182077075045
KCNC4	RV_Control	RV	Control	-0.0340462492179459
KCND3	LA_AF	LA	AF	4.30735811858434
KCND3	LA_Control	LA	Control	3.88198940087138
KCND3	LV_AF	LV	AF	3.66187891190305
KCND3	LV_Control	LV	Control	3.61814326363818
