"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"PRXL2C","ENSECAG00000000080","ENSECAG00000000080",0.00371005914168895,-0.000948867261739833,-0.000120988210410863,-0.00224169870307807,0.00109812953099374
"PTER","ENSECAG00000000081","ENSECAG00000000081",-0.00183921942723644,0.0133673843882458,0.00173576306338574,-0.00205132044160342,-0.00652111768274004
"ACBD3","ENSECAG00000000084","ENSECAG00000000084",-0.00249427253075273,0.00151459350859648,0.00192643488255759,-0.00306174345776791,-0.00494494550023819
"AGA","ENSECAG00000000085","ENSECAG00000000085",-0.0016861254760234,0.00401010038577324,-0.00522312460538842,0.00304277891665002,0.00645888979009342
"DUSP13B","ENSECAG00000000088","ENSECAG00000000088",-0.00345446808085768,-0.0410798357532628,-0.014493431717311,-0.0198313300022103,-0.0332965920108195
"MAP3K8","ENSECAG00000000090","ENSECAG00000000090",0.0164037336109051,0.00265957896512637,-0.0132732333047566,0.0200084515283639,-0.00545132385295945
"PBLD","ENSECAG00000000091","ENSECAG00000000091",-0.000329807350451219,-0.00359264248605809,0.00716877125253832,-0.00470602137003409,0.00213643767807916
"GOT1","ENSECAG00000000095","ENSECAG00000000095",0.00479247444593279,0.00386510502416024,0.00713778187654814,-0.00416680335154641,0.0012100983386768
"SLC20A2","ENSECAG00000000096","ENSECAG00000000096",-0.00582851978393561,-0.000731170014736708,-0.00407753246821604,-0.00278825829744086,0.00139390024848469
"","ENSECAG00000000097","ENSECAG00000000097",-0.000223537863469085,0.00102802239442743,0.0147368062680943,-0.00490967151889724,0.016385464332707
"NDRG4","ENSECAG00000000099","ENSECAG00000000099",-0.00456305163157194,-0.00277562591034439,-0.00129029828135049,-0.00262764390574264,0.00845274708982721
"PAOX","ENSECAG00000000101","ENSECAG00000000101",0.00413868749543062,0.000622669375745846,0.00651455009626139,0.00196234445627471,0.000246188580204766
"EIF5B","ENSECAG00000000102","ENSECAG00000000102",0.00164101065354557,-0.00927821686516631,0.00365241693382067,-0.00571894858051044,-0.00244568991226963
"ANKRD39","ENSECAG00000000103","ENSECAG00000000103",-0.00732758553051795,-0.00439344124079547,0.00417842716507808,0.00265634377564037,-0.00402093077278452
"ZNF74","ENSECAG00000000104","ENSECAG00000000104",-0.00561571180059303,-0.0029715656732129,-0.00637692853952544,-0.00311842029076968,0.00655873341044673
"","ENSECAG00000000105","ENSECAG00000000105",-0.00642159716140527,0.0118745450506753,-0.00640079506510285,0.00397160423395142,0.0046292613480845
"TXNDC5","ENSECAG00000000106","ENSECAG00000000106",0.00540351711250981,-0.00163334825428852,-0.000212390456772519,0.00565931458518024,-0.000772342674122045
"WRN","ENSECAG00000000110","ENSECAG00000000110",-0.00114768171400784,0.00721545440152847,-0.00888830053590852,-0.00593082432754388,0.00705226144843752
"ACOT11","ENSECAG00000000113","ENSECAG00000000113",0.002093609460129,0.0151341748468014,-0.0151207808056794,-0.0164794134914541,-0.0012592925368474
"SUPT20H","ENSECAG00000000116","ENSECAG00000000116",-0.00574317492151031,0.00316348627722471,-0.00824330283145204,-0.00226720066155047,0.000324197572118177
"ZNF483","ENSECAG00000000117","ENSECAG00000000117",-0.0158590571315453,0.00656873875127648,-0.0154824976504833,0.0108547640013672,0.00703248719198932
"FAM221B","ENSECAG00000000119","ENSECAG00000000119",-0.00940094844752895,0.00447953852800539,0.00945657420010035,0.0029786020564509,0.014528369095978
"NAV3","ENSECAG00000000121","ENSECAG00000000121",0.00156025179674232,0.00154387861839513,-0.0192098570046296,0.00111285200332207,-0.00232294418587005
"GDA","ENSECAG00000000122","ENSECAG00000000122",-0.000129256818270838,0.00185721193748556,-0.00731827364094189,0.01375458541253,-0.00192833111477484
"COPG1","ENSECAG00000000124","ENSECAG00000000124",0.00179792849439225,-0.00053776404613667,0.00203330612921201,0.0013095772873175,-0.0057766125214212
"SGMS1","ENSECAG00000000125","ENSECAG00000000125",-5.12396608620701e-05,0.00448419691215814,-0.00151485875180614,-0.000832649117497157,0.000834127757584645
"EIF2D","ENSECAG00000000127","ENSECAG00000000127",-0.00230658682147114,-0.000807020855234914,0.00296151240316194,0.00184412458132257,0.00201597103453356
"SUGP2","ENSECAG00000000129","ENSECAG00000000129",-0.00118259695100429,0.0033849607999851,-0.00377292905595996,0.0030171384609837,0.00433660317205431
