"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"MAP3K8","ENSECAG00000000090","ENSECAG00000000090",0.00572969053384662,-0.00697965763304204,-0.00790200423907818,0.0100503419816225,-0.0156368365644009
"PBLD","ENSECAG00000000091","ENSECAG00000000091",-0.000232055217593519,-0.00191356379888809,0.000640974206395537,-0.00543228869630029,-0.00212300420261179
"GOT1","ENSECAG00000000095","ENSECAG00000000095",0.00112071410655504,-0.00305112196103665,0.00089296953866724,-0.00575458834653955,0.00306943214073659
"SLC20A2","ENSECAG00000000096","ENSECAG00000000096",-0.00669300462021543,-0.000286737656922773,-0.000106331671297749,0.00530890022341599,0.00211554897315416
"","ENSECAG00000000097","ENSECAG00000000097",0.00325656695022441,-0.0117692884255386,0.00185284023304454,-0.0229817134567066,0.00234174117290422
"NDRG4","ENSECAG00000000099","ENSECAG00000000099",0.00499255277496961,0.00433750006268982,0.0010423576664899,0.00317857811976817,-0.000757685397533268
"PAOX","ENSECAG00000000101","ENSECAG00000000101",-0.00109519086923267,-0.00222060633053341,0.000560083775251394,-0.00231231029992772,-0.000519009032988303
"EIF5B","ENSECAG00000000102","ENSECAG00000000102",0.00132368106737106,-0.000930912834187319,0.00338948493912563,-0.000757270466462464,-0.00480898338519583
"ANKRD39","ENSECAG00000000103","ENSECAG00000000103",0.00155212188471027,0.00793887177144307,0.00495498511006963,-0.00145255747292802,-0.00181606733113695
"ZNF74","ENSECAG00000000104","ENSECAG00000000104",0.00861217733498567,0.00375138640232677,-0.000425159839728995,0.00710421270431326,0.0104738551057439
"","ENSECAG00000000105","ENSECAG00000000105",-0.00173440242050156,0.00366312994709003,-0.0138572337636586,-0.00735794619221025,-0.00183206105601291
"TXNDC5","ENSECAG00000000106","ENSECAG00000000106",-0.000909409006606965,0.00354140598885027,-0.00105906907550898,0.00177814478300147,-0.00232574526044227
"WRN","ENSECAG00000000110","ENSECAG00000000110",-0.00266373262948256,-0.00199982346133535,-0.0073095029247323,0.0135707811228262,0.00386622851250435
"ACOT11","ENSECAG00000000113","ENSECAG00000000113",0.00029697929125046,-0.00603675070196616,0.00771955678782274,0.0063805502411119,0.00733652601410597
"SUPT20H","ENSECAG00000000116","ENSECAG00000000116",0.00119653617054722,0.00232133929648467,-0.0110033122193452,0.00438272566100327,-0.0061439699483008
"ZNF483","ENSECAG00000000117","ENSECAG00000000117",-0.0123152128729944,0.0187467500158016,-0.00268350623695594,0.0125931403366866,-0.00742757661799
"FAM221B","ENSECAG00000000119","ENSECAG00000000119",-0.0232378913279976,0.0305611048914382,-0.00154257815004542,-0.00667049743905836,0.00185526907435869
"NAV3","ENSECAG00000000121","ENSECAG00000000121",-0.00339707943888125,0.00188714894893368,0.000894922419791399,0.0153254578358481,-0.00929435797240027
"GDA","ENSECAG00000000122","ENSECAG00000000122",9.13079717599958e-05,-7.28043606756534e-07,-0.00597110252692242,0.00326942113343767,0.00397550179737951
"COPG1","ENSECAG00000000124","ENSECAG00000000124",-0.00177104235319718,-0.00161516077439682,0.00219706450369256,-0.00252925461753709,-0.000351388439266615
"SGMS1","ENSECAG00000000125","ENSECAG00000000125",-0.00112559314144089,0.00214083964214763,-0.00414087773394918,0.0027533490745431,-0.00362317626874961
"EIF2D","ENSECAG00000000127","ENSECAG00000000127",0.000195596187513579,0.000727734546600611,-0.00192969106759548,-0.00711072837183685,-0.00526348464161379
"SUGP2","ENSECAG00000000129","ENSECAG00000000129",0.00106504990400501,-0.00281908868374965,-0.00498590251462846,0.00152723306318995,-0.000394310290849632
"FAM124A","ENSECAG00000000131","ENSECAG00000000131",-0.00967093734929818,-0.00526755054658253,-0.0107114860050898,-0.0020428127972634,-0.000588894005239156
"MAOB","ENSECAG00000000132","ENSECAG00000000132",-0.00599093123987499,0.0109738674649544,-0.00832676885834262,0.00680227282885837,0.00653526095131187
"TMEM59L","ENSECAG00000000133","ENSECAG00000000133",-0.0133271409749913,0.00488591804254015,0.00764385305077799,0.00435931620482566,0.0105269897877792
"MEGF9","ENSECAG00000000134","ENSECAG00000000134",-0.0133625552884544,-0.00817814557730454,-0.00917812831968656,-0.00738266996643904,-0.00252186697311141
"CDK5RAP2","ENSECAG00000000135","ENSECAG00000000135",-8.11199076162059e-05,-0.00407045674448894,-0.00442591837166161,-0.00203122058362709,-0.00203609778224549
"FERMT1","ENSECAG00000000136","ENSECAG00000000136",-0.0124286953487883,0.000473975207998544,-0.00210303120973298,-0.0145146581910927,0.0106337120480529
"ACVR2A","ENSECAG00000000138","ENSECAG00000000138",0.00563333198922988,0.00176500212193309,-0.00062642355931554,-0.000926922500829847,0.00105330982679432
"YME1L1","ENSECAG00000000140","ENSECAG00000000140",0.00216017263309511,0.00168247284240653,0.00137883000214017,-0.00613253059172363,-0.0059017422132852
"PTCH1","ENSECAG00000000141","ENSECAG00000000141",0.00214093348730675,-0.00263737252818306,-0.00607803473706615,0.00628384723327554,0.00818052023546729
"CNKSR2","ENSECAG00000000149","ENSECAG00000000149",-0.00115640809047063,0.00960311862160806,-0.00218082504403886,-0.00185455893659464,0.00651902351507877
"KITLG","ENSECAG00000000152","ENSECAG00000000152",-0.0032402268553174,0.00881641033078487,-0.0125655549363175,0.00102135625920328,-0.00509658408129811
"FRMPD4","ENSECAG00000000153","ENSECAG00000000153",0.000941189619215053,-0.0186495068548425,0.00580002548121793,0.0110558771257492,-0.00033464726420753
"SPATA6","ENSECAG00000000158","ENSECAG00000000158",-0.0163942648098629,0.00757707355165509,0.00898829722761883,0.00298457964708594,0.0140103342786743
"COX5A","ENSECAG00000000160","ENSECAG00000000160",0.00400666715249722,-0.00123086958241477,0.00395517589081326,-0.00791176672683863,-0.000963377230234724
"TRIP12","ENSECAG00000000162","ENSECAG00000000162",-0.00314068336334061,0.00358406155818216,0.0031789030456328,-0.00197746295677364,0.0034302948019671
"SPHKAP","ENSECAG00000000166","ENSECAG00000000166",-0.047846705816117,-0.027644013990031,-0.0338269635757091,-0.0182768969368803,0.0241264843141414
"NPAS2","ENSECAG00000000171","ENSECAG00000000171",-0.000194504136120667,0.0120930466495837,0.0168502464216273,-0.00656067365386686,0.00942398231309077
